N,P,K,temperature,humidity,ph,rainfall,label
63,119,174,26.41,88.26,5.35,170.75,Pigeonpeas
54,119,169,28.22,84.48,4.95,183.04,Pigeonpeas
65,100,159,27.02,89.52,5.0,178.45,Pigeonpeas
55,116,165,27.51,85.14,5.44,180.05,Pigeonpeas
59,111,173,25.76,89.14,5.09,170.2,Pigeonpeas
17,60,68,23.94,45.67,5.86,71.51,Mothbeans
6,61,56,26.56,46.27,5.72,52.89,Mothbeans
2,52,68,23.93,53.53,5.08,70.9,Mothbeans
3,57,71,24.64,45.13,5.29,72.26,Mothbeans
11,62,58,26.57,48.93,5.78,54.79,Mothbeans
19,64,66,24.34,46.07,5.2,65.02,Mothbeans
15,57,60,25.23,54.29,5.89,71.74,Mothbeans
2,71,64,26.09,53.66,5.23,66.27,Mothbeans
2,62,66,24.22,45.83,5.34,71.22,Mothbeans
19,65,74,26.15,48.32,5.67,68.31,Mothbeans
4,62,56,26.27,48.31,5.37,68.15,Mothbeans
12,52,65,26.96,45.02,5.69,66.74,Mothbeans
15,68,66,25.6,50.27,5.64,64.69,Mothbeans
2,59,65,26.76,51.34,5.22,56.42,Mothbeans
13,65,74,23.98,46.14,5.89,71.44,Mothbeans
14,68,54,27.23,45.59,5.01,65.21,Mothbeans
11,54,66,24.17,54.65,5.55,64.35,Mothbeans
6,63,65,25.78,50.06,5.0,71.5,Mothbeans
4,71,71,25.56,50.13,5.04,65.43,Mothbeans
8,65,61,24.86,47.46,5.19,71.9,Mothbeans
6,69,55,25.34,52.46,5.84,61.25,Mothbeans
11,66,58,24.66,47.07,5.19,69.39,Mothbeans
5,71,58,24.1,49.47,5.85,66.62,Mothbeans
22,58,62,26.55,46.34,5.08,52.34,Mothbeans
5,56,57,25.92,50.69,5.42,65.28,Mothbeans
3,70,72,25.48,51.61,5.1,54.59,Mothbeans
8,64,61,25.02,51.0,5.38,58.26,Mothbeans
12,54,60,23.88,51.72,5.69,54.43,Mothbeans
4,62,63,23.81,54.42,5.71,62.17,Mothbeans
15,62,60,27.23,50.51,5.44,66.99,Mothbeans
4,60,60,26.18,48.61,5.93,67.26,Mothbeans
11,70,66,26.99,48.58,4.99,69.53,Mothbeans
6,68,73,23.75,49.23,5.51,71.16,Mothbeans
11,72,63,25.49,47.59,5.37,63.96,Mothbeans
14,56,68,26.23,50.03,5.49,53.59,Mothbeans
3,60,73,24.65,50.31,5.48,64.81,Mothbeans
20,72,58,26.31,50.53,5.58,56.48,Mothbeans
14,55,65,24.99,54.65,5.77,61.4,Mothbeans
11,59,70,27.22,53.6,5.11,57.03,Mothbeans
9,58,62,25.22,53.36,5.04,53.39,Mothbeans
21,68,69,24.08,49.05,5.56,59.88,Mothbeans
10,66,70,24.83,54.11,5.5,65.37,Mothbeans
15,52,63,26.2,52.84,5.16,53.76,Mothbeans
18,61,70,26.44,54.79,5.78,65.12,Mothbeans
15,70,61,23.83,49.68,5.78,64.59,Mothbeans
5,61,65,26.39,46.57,4.97,68.25,Mothbeans
17,60,69,26.47,49.79,5.8,66.76,Mothbeans
13,59,65,24.64,53.8,5.29,54.91,Mothbeans
10,67,64,24.75,48.67,5.52,60.06,Mothbeans
22,58,70,25.13,47.22,5.18,66.05,Mothbeans
7,68,70,26.45,45.02,5.45,59.15,Mothbeans
6,67,54,27.05,53.55,5.58,69.2,Mothbeans
4,55,70,23.67,51.42,5.47,65.94,Mothbeans
22,52,70,24.86,53.63,5.91,58.89,Mothbeans
15,72,64,24.54,50.15,5.2,61.86,Mothbeans
16,55,54,27.09,50.0,5.44,55.37,Mothbeans
17,67,58,26.64,48.38,5.28,59.34,Mothbeans
5,53,59,23.95,52.7,5.47,55.79,Mothbeans
9,67,57,23.72,48.59,5.92,54.66,Mothbeans
4,58,54,26.51,51.31,5.95,70.42,Mothbeans
11,57,67,24.17,45.09,5.81,54.53,Mothbeans
22,65,56,26.03,47.95,5.56,66.92,Mothbeans
6,53,74,24.19,52.87,5.26,57.14,Mothbeans
20,67,61,25.64,49.32,5.05,65.07,Mothbeans
12,67,57,26.85,49.16,5.21,64.3,Mothbeans
11,62,62,24.26,50.01,5.69,59.94,Mothbeans
16,70,74,26.09,51.03,5.75,69.38,Mothbeans
16,63,65,27.38,45.04,5.67,68.27,Mothbeans
6,72,64,24.73,54.33,5.58,64.88,Mothbeans
7,62,66,27.4,50.04,5.94,53.13,Mothbeans
13,57,59,26.15,45.21,5.88,61.41,Mothbeans
4,53,63,27.04,47.39,5.8,65.48,Mothbeans
2,58,54,24.13,52.34,5.46,62.05,Mothbeans
16,65,63,27.37,51.7,5.27,62.64,Mothbeans
17,54,70,23.51,48.84,5.82,59.18,Mothbeans
21,53,66,24.17,55.01,5.01,67.5,Mothbeans
22,64,62,25.58,51.57,5.03,67.84,Mothbeans
7,55,63,25.66,47.82,5.79,64.17,Mothbeans
22,71,71,26.95,48.58,5.48,61.62,Mothbeans
8,72,73,24.41,49.21,5.54,65.69,Mothbeans
4,66,67,23.69,46.96,4.97,61.81,Mothbeans
5,59,70,26.25,50.84,5.31,58.73,Mothbeans
5,55,59,25.71,49.48,5.45,71.96,Mothbeans
20,56,73,24.12,45.56,5.33,62.54,Mothbeans
3,65,74,27.4,47.86,5.48,63.96,Mothbeans
21,53,74,23.89,45.74,5.39,64.36,Mothbeans
4,59,54,26.61,50.3,5.23,61.96,Mothbeans
11,52,55,26.43,49.99,5.55,69.53,Mothbeans
15,60,57,25.03,48.48,5.73,68.75,Mothbeans
14,57,68,23.59,47.76,5.12,57.88,Mothbeans
22,71,60,24.41,53.99,5.36,69.44,Mothbeans
8,60,56,24.16,54.74,5.52,63.35,Mothbeans
20,53,68,27.11,49.3,5.11,55.12,Mothbeans
19,69,74,26.07,51.09,5.51,64.39,Mothbeans
8,63,65,24.68,51.94,5.44,66.66,Mothbeans
17,55,68,23.49,50.89,5.03,52.62,Mothbeans
17,69,73,25.75,55.02,5.09,69.24,Mothbeans
3,66,58,25.45,51.28,5.87,58.38,Mothbeans
21,54,58,24.44,46.29,5.63,61.85,Mothbeans
7,65,73,27.38,54.44,5.32,52.39,Mothbeans
22,42,61,26.13,56.06,6.11,121.24,Mungbean
22,29,66,26.67,56.54,6.4,111.59,Mungbean
25,29,62,23.26,58.47,5.94,116.2,Mungbean
26,33,58,23.98,55.15,6.52,110.92,Mungbean
13,25,64,25.04,58.03,6.48,112.1,Mungbean
14,33,62,24.7,55.29,6.25,121.68,Mungbean
31,26,72,24.47,50.7,6.35,103.32,Mungbean
16,38,78,23.59,56.59,6.73,119.91,Mungbean
16,35,63,23.85,58.88,6.1,118.68,Mungbean
25,30,66,23.48,54.52,5.87,107.18,Mungbean
23,25,60,26.85,53.47,6.16,107.39,Mungbean
24,41,70,24.47,50.76,6.46,122.19,Mungbean
29,25,70,23.44,53.64,6.1,121.19,Mungbean
16,29,69,25.63,54.04,6.18,120.78,Mungbean
13,42,75,23.73,54.32,6.16,104.67,Mungbean
30,41,67,26.85,50.12,5.79,119.46,Mungbean
24,36,72,26.7,54.3,6.55,103.44,Mungbean
16,27,68,23.97,53.9,5.86,116.87,Mungbean
30,33,73,25.96,50.92,6.23,113.08,Mungbean
28,32,58,24.52,50.18,6.51,108.51,Mungbean
32,33,76,25.49,56.17,6.59,120.83,Mungbean
29,39,69,24.76,56.38,6.47,120.45,Mungbean
33,30,72,23.76,52.99,6.31,107.15,Mungbean
20,25,71,25.78,58.81,6.52,115.32,Mungbean
26,27,64,24.42,52.33,5.93,103.76,Mungbean
23,40,73,24.87,49.84,6.43,112.68,Mungbean
31,37,61,25.65,50.18,6.13,103.69,Mungbean
33,38,67,23.55,56.2,6.62,121.73,Mungbean
32,36,70,25.15,56.3,6.34,122.29,Mungbean
21,27,59,23.37,55.49,6.72,106.94,Mungbean
26,30,65,24.55,51.33,6.49,110.69,Mungbean
29,28,70,24.59,56.64,6.49,112.83,Mungbean
21,41,61,24.98,58.17,6.31,117.33,Mungbean
26,33,59,26.64,58.44,5.84,107.42,Mungbean
13,41,72,25.01,51.47,6.61,112.09,Mungbean
29,41,65,27.05,59.57,6.08,104.95,Mungbean
22,27,62,25.62,49.7,6.21,103.6,Mungbean
32,26,71,25.63,52.08,6.52,121.99,Mungbean
26,35,73,25.19,59.53,6.5,107.47,Mungbean
24,35,60,24.73,52.46,6.18,112.27,Mungbean
23,39,67,24.76,52.6,6.57,107.54,Mungbean
19,35,78,26.54,55.84,6.06,114.01,Mungbean
27,37,68,25.19,59.53,6.29,110.25,Mungbean
20,42,65,24.81,50.59,6.38,112.44,Mungbean
26,30,61,24.29,54.85,6.72,118.52,Mungbean
13,29,70,26.75,54.55,5.8,116.51,Mungbean
26,32,64,27.01,53.46,6.1,105.16,Mungbean
29,39,78,24.95,58.08,6.75,114.43,Mungbean
25,44,75,23.66,56.56,6.76,110.41,Mungbean
24,37,78,27.03,54.05,6.23,122.17,Mungbean
14,40,74,27.03,55.18,5.86,112.45,Mungbean
25,28,60,24.22,56.41,6.7,119.28,Mungbean
25,39,72,25.45,50.88,6.57,114.73,Mungbean
22,39,65,26.3,56.91,5.93,110.56,Mungbean
33,42,64,23.92,49.9,5.83,104.71,Mungbean
29,29,65,26.09,59.55,6.01,115.81,Mungbean
25,35,61,24.77,52.4,6.43,110.17,Mungbean
20,31,62,25.9,53.97,6.25,118.72,Mungbean
33,28,64,24.05,54.78,6.35,117.92,Mungbean
14,25,60,23.89,56.22,6.3,113.01,Mungbean
33,28,60,23.6,55.41,6.17,118.3,Mungbean
17,42,71,23.53,57.78,6.02,117.0,Mungbean
30,33,73,24.25,53.16,5.96,106.96,Mungbean
32,30,65,24.5,53.94,6.07,106.3,Mungbean
24,26,76,24.0,55.93,6.34,110.92,Mungbean
18,43,65,24.09,52.79,6.27,106.34,Mungbean
29,32,63,25.33,58.21,6.47,114.56,Mungbean
22,28,75,24.06,56.02,6.13,119.33,Mungbean
16,26,74,24.57,55.22,5.97,112.96,Mungbean
15,28,68,25.01,53.92,5.96,105.54,Mungbean
16,26,65,26.72,57.45,6.1,116.29,Mungbean
21,44,76,25.34,50.87,6.41,117.4,Mungbean
20,37,74,24.8,56.39,6.35,105.23,Mungbean
14,25,74,26.35,50.12,6.62,118.55,Mungbean
24,34,76,25.41,59.39,6.28,105.92,Mungbean
19,31,74,24.83,53.91,6.43,104.39,Mungbean
15,27,73,25.56,56.31,6.13,119.01,Mungbean
15,28,74,23.36,51.92,5.83,121.37,Mungbean
27,26,58,25.94,50.29,5.96,122.67,Mungbean
32,44,70,26.47,59.13,6.61,115.77,Mungbean
26,43,78,23.67,49.77,6.52,121.18,Mungbean
32,25,59,23.55,56.6,6.19,119.07,Mungbean
19,43,78,25.19,51.35,5.76,110.18,Mungbean
32,36,58,26.39,52.2,6.49,108.94,Mungbean
18,36,61,25.05,54.09,6.37,116.26,Mungbean
16,38,65,24.53,59.3,5.78,104.25,Mungbean
24,41,65,24.42,53.25,6.69,118.73,Mungbean
29,25,62,23.9,55.92,5.85,120.49,Mungbean
30,25,60,23.43,58.73,5.88,115.64,Mungbean
28,41,77,27.05,52.98,5.92,105.13,Mungbean
20,36,69,26.17,54.07,6.23,111.92,Mungbean
26,45,76,25.74,55.58,5.92,108.15,Mungbean
29,29,75,23.91,58.31,6.04,105.76,Mungbean
17,45,66,26.06,54.7,6.22,117.26,Mungbean
15,41,65,27.0,57.21,6.75,121.94,Mungbean
23,34,66,26.92,58.3,6.06,121.18,Mungbean
27,45,58,25.74,58.87,5.83,106.44,Mungbean
18,39,67,23.77,54.88,5.94,103.91,Mungbean
23,39,71,26.49,54.97,5.85,105.39,Mungbean
27,30,73,27.0,54.78,6.74,106.43,Mungbean
80,84,128,22.98,48.94,7.4,75.82,Blackgram
70,67,136,20.45,50.61,7.75,67.56,Blackgram
61,73,130,21.8,44.35,7.83,73.95,Blackgram
79,71,133,22.86,48.35,7.32,83.28,Blackgram
65,73,128,21.25,45.54,7.44,70.08,Blackgram
79,77,135,20.59,47.96,7.15,73.47,Blackgram
78,68,139,21.23,47.59,7.9,72.89,Blackgram
72,82,128,23.6,46.41,8.11,76.69,Blackgram
64,71,146,22.31,45.84,7.14,83.5,Blackgram
74,85,146,20.17,46.19,7.28,66.4,Blackgram
70,82,144,20.45,47.72,7.51,72.31,Blackgram
74,81,132,21.19,44.24,7.14,70.6,Blackgram
68,80,133,20.58,48.12,7.48,77.65,Blackgram
79,81,137,21.68,44.62,7.14,75.25,Blackgram
65,69,137,20.34,50.91,7.21,82.25,Blackgram
81,86,136,23.5,43.94,7.71,79.84,Blackgram
79,80,134,22.94,52.92,8.02,69.19,Blackgram
69,77,145,20.73,49.63,7.38,67.22,Blackgram
73,79,136,21.05,48.72,7.76,70.1,Blackgram
64,67,129,20.71,53.2,8.07,64.41,Blackgram
70,77,145,21.49,45.95,8.1,68.36,Blackgram
63,75,127,22.49,52.8,7.8,67.11,Blackgram
64,76,133,23.5,48.61,7.5,82.65,Blackgram
75,84,143,20.91,50.08,7.5,81.22,Blackgram
81,80,142,22.96,45.61,7.51,80.74,Blackgram
81,78,145,21.87,52.58,7.62,83.79,Blackgram
72,73,130,21.13,47.33,7.96,70.86,Blackgram
79,87,134,21.99,51.24,7.33,73.02,Blackgram
74,81,134,20.46,47.75,7.78,81.85,Blackgram
62,78,138,22.56,48.63,7.48,83.79,Blackgram
70,79,134,20.39,47.96,7.67,77.17,Blackgram
67,84,134,21.18,44.58,7.87,74.15,Blackgram
64,76,133,21.56,45.21,7.85,67.7,Blackgram
65,67,141,21.32,50.46,7.67,71.88,Blackgram
66,75,145,22.59,48.47,7.28,80.91,Blackgram
77,69,134,23.53,45.56,7.72,74.19,Blackgram
64,77,128,22.35,50.74,7.63,71.55,Blackgram
70,71,143,21.07,44.46,7.66,73.02,Blackgram
70,71,143,23.37,45.35,8.09,75.1,Blackgram
70,85,131,22.32,45.58,7.93,78.25,Blackgram
66,85,129,19.98,43.94,7.8,81.11,Blackgram
79,76,138,22.16,45.7,7.44,65.78,Blackgram
75,85,135,22.14,48.71,7.82,77.4,Blackgram
66,67,137,23.4,50.61,7.98,82.15,Blackgram
78,81,130,21.38,44.89,7.98,74.37,Blackgram
73,87,138,23.73,52.98,7.88,67.76,Blackgram
64,69,135,20.07,50.03,7.9,75.12,Blackgram
76,82,132,21.96,50.13,7.41,79.87,Blackgram
62,82,127,21.39,49.78,7.65,79.5,Blackgram
74,77,135,20.9,49.45,8.11,78.73,Blackgram
78,75,134,20.57,44.9,8.03,69.29,Blackgram
68,84,129,22.97,46.1,8.11,67.66,Blackgram
76,79,126,22.71,44.4,7.61,78.76,Blackgram
66,75,127,23.01,48.93,7.39,81.15,Blackgram
63,83,136,22.55,47.84,7.94,66.41,Blackgram
66,82,128,21.78,50.85,7.68,73.15,Blackgram
70,74,128,21.22,48.59,7.71,69.1,Blackgram
63,71,135,23.8,46.91,7.68,64.21,Blackgram
74,68,139,23.1,44.01,7.92,81.96,Blackgram
70,78,134,20.06,44.64,7.61,82.41,Blackgram
61,85,141,20.85,47.25,7.15,73.26,Blackgram
77,68,137,20.99,44.59,7.37,72.97,Blackgram
68,68,146,21.64,50.64,7.87,73.13,Blackgram
80,80,145,21.11,45.37,8.06,80.47,Blackgram
66,82,129,20.93,46.99,7.57,73.19,Blackgram
63,71,146,23.82,43.61,7.95,71.76,Blackgram
68,72,133,23.3,48.41,7.88,81.17,Blackgram
72,70,129,20.66,46.04,7.94,66.31,Blackgram
67,71,126,21.6,51.79,7.81,73.27,Blackgram
73,82,141,20.79,51.67,7.74,64.53,Blackgram
73,68,135,21.05,49.95,7.65,82.17,Blackgram
66,71,141,23.25,52.33,7.8,80.32,Blackgram
75,84,138,22.08,49.18,7.82,76.72,Blackgram
67,74,130,20.57,51.76,7.4,81.42,Blackgram
79,76,136,21.9,46.27,7.95,66.48,Blackgram
61,74,141,23.71,51.5,7.24,68.53,Blackgram
76,68,135,20.68,53.12,7.32,73.63,Blackgram
80,71,146,20.4,50.72,8.08,69.47,Blackgram
71,81,146,20.42,49.57,7.8,71.8,Blackgram
70,83,143,21.9,49.78,7.31,72.16,Blackgram
74,79,146,21.99,44.82,7.69,71.18,Blackgram
73,77,141,21.28,50.76,7.67,66.04,Blackgram
76,83,142,20.18,52.15,7.41,77.81,Blackgram
77,69,134,23.55,50.12,7.68,70.49,Blackgram
73,72,128,23.24,49.86,7.2,64.34,Blackgram
74,83,132,20.37,46.05,7.38,71.82,Blackgram
81,78,133,20.15,49.79,7.22,82.87,Blackgram
81,75,143,23.35,47.77,8.07,78.24,Blackgram
63,75,144,22.92,49.37,7.96,77.87,Blackgram
61,73,140,20.16,45.51,7.77,65.67,Blackgram
63,73,142,20.86,44.15,7.66,75.6,Blackgram
70,69,130,22.13,53.53,8.06,78.48,Blackgram
80,68,130,20.65,47.74,7.63,73.59,Blackgram
62,74,131,22.58,52.96,7.89,70.35,Blackgram
63,70,131,22.68,50.58,7.88,76.97,Blackgram
68,84,135,20.32,45.88,7.19,75.87,Blackgram
80,79,126,20.25,52.8,7.66,64.32,Blackgram
79,68,140,20.59,48.66,7.76,66.8,Blackgram
72,77,135,20.05,50.65,7.14,77.99,Blackgram
62,70,140,23.5,44.18,7.41,66.55,Blackgram
27,124,43,25.91,47.52,7.21,139.31,Lentil
33,124,30,26.97,45.3,7.15,155.07,Lentil
30,112,40,26.11,44.49,7.34,144.34,Lentil
34,127,43,25.43,44.43,7.18,156.97,Lentil
29,111,31,25.13,46.53,6.63,153.69,Lentil
30,117,33,26.67,40.63,7.16,157.09,Lentil
42,114,35,27.66,41.43,7.49,149.81,Lentil
29,107,43,26.92,45.61,7.09,153.22,Lentil
39,113,32,25.99,41.62,7.44,143.34,Lentil
28,116,41,25.42,45.1,6.99,155.79,Lentil
43,107,27,26.94,40.84,6.66,147.54,Lentil
35,125,40,27.13,42.93,6.98,156.33,Lentil
46,109,42,26.88,43.3,6.91,148.08,Lentil
36,121,33,27.37,46.22,6.63,145.78,Lentil
34,110,28,24.98,40.76,7.12,141.93,Lentil
46,107,25,26.33,49.83,6.88,138.05,Lentil
28,127,41,26.18,40.19,7.5,146.19,Lentil
32,121,27,28.03,49.27,7.07,154.06,Lentil
45,122,36,27.11,40.52,7.35,153.46,Lentil
45,121,43,27.0,44.74,7.43,144.27,Lentil
41,108,42,26.16,43.17,6.76,155.64,Lentil
30,115,40,24.63,49.55,6.69,146.42,Lentil
37,125,30,27.02,40.79,7.31,151.15,Lentil
41,114,38,25.71,45.77,7.14,147.41,Lentil
47,113,27,28.01,42.86,6.66,148.57,Lentil
43,117,23,27.64,42.39,7.46,139.63,Lentil
44,120,41,24.72,47.22,7.21,139.6,Lentil
45,116,35,28.22,40.14,6.82,154.56,Lentil
40,124,24,27.79,40.09,6.9,154.53,Lentil
38,108,32,28.14,45.3,7.37,150.02,Lentil
30,114,33,28.25,42.51,7.24,146.42,Lentil
47,111,25,27.63,48.84,7.57,142.19,Lentil
45,127,40,25.44,42.05,6.62,141.18,Lentil
41,108,38,28.51,41.35,6.7,153.95,Lentil
28,116,35,25.83,45.69,7.04,142.49,Lentil
27,122,32,25.93,40.15,6.92,139.61,Lentil
45,113,35,27.57,41.16,7.45,152.87,Lentil
29,109,34,24.68,45.53,6.75,149.92,Lentil
43,125,37,27.82,41.99,6.89,152.37,Lentil
36,120,26,24.76,44.73,7.45,148.64,Lentil
29,121,37,27.38,48.03,7.24,154.92,Lentil
43,113,41,26.52,41.84,6.82,154.77,Lentil
38,117,26,24.52,49.38,6.91,150.92,Lentil
40,107,35,26.22,45.92,6.65,146.23,Lentil
29,120,36,25.34,49.42,7.29,144.73,Lentil
34,120,29,26.75,41.55,6.87,150.17,Lentil
33,117,32,27.12,48.28,7.38,146.09,Lentil
37,110,40,26.74,43.69,7.42,151.59,Lentil
27,122,36,25.06,46.12,7.34,139.4,Lentil
27,118,30,25.53,46.0,7.57,157.54,Lentil
36,115,38,28.46,42.58,6.75,139.71,Lentil
30,118,29,25.55,41.33,7.58,144.6,Lentil
47,123,32,25.12,41.01,7.1,150.95,Lentil
37,108,41,24.78,49.63,7.54,154.01,Lentil
36,109,23,27.89,45.94,7.34,149.46,Lentil
27,126,38,25.81,49.45,6.93,154.96,Lentil
35,114,31,25.65,48.99,7.6,146.39,Lentil
47,123,38,27.11,47.85,7.15,152.28,Lentil
35,117,31,26.0,43.09,7.22,142.68,Lentil
27,107,42,26.92,47.97,7.07,142.11,Lentil
45,114,40,26.71,43.8,6.84,140.81,Lentil
46,124,29,25.93,41.87,7.46,156.56,Lentil
30,112,32,25.09,47.31,6.92,145.5,Lentil
41,120,34,24.86,40.12,7.44,139.47,Lentil
44,110,40,28.41,40.24,7.48,143.99,Lentil
41,119,36,25.5,50.01,7.21,154.43,Lentil
43,114,40,25.74,41.25,6.79,151.66,Lentil
46,127,25,27.47,48.28,7.56,142.09,Lentil
44,114,32,26.83,40.47,7.51,151.58,Lentil
42,125,39,26.63,48.11,6.74,143.96,Lentil
32,113,42,24.6,49.07,6.95,150.55,Lentil
41,113,38,26.35,45.4,6.71,153.18,Lentil
42,112,28,27.54,40.21,6.65,150.33,Lentil
33,124,23,27.91,46.12,7.28,152.61,Lentil
46,113,33,27.78,47.32,7.18,153.25,Lentil
27,126,39,27.77,45.39,7.43,152.07,Lentil
32,116,23,24.68,45.48,6.98,146.18,Lentil
45,119,32,27.74,46.94,7.6,140.88,Lentil
32,126,39,27.94,40.99,7.41,150.9,Lentil
44,116,29,27.34,42.11,6.97,147.27,Lentil
38,116,34,25.52,45.08,7.03,137.67,Lentil
29,122,30,25.94,44.14,7.24,154.8,Lentil
47,121,35,26.81,49.97,7.25,144.73,Lentil
44,115,33,26.52,43.96,7.19,148.51,Lentil
35,123,33,27.2,41.26,7.13,156.63,Lentil
34,123,28,26.71,48.72,6.85,149.57,Lentil
47,107,29,28.24,48.98,6.66,153.62,Lentil
35,117,37,27.57,41.38,7.55,141.84,Lentil
35,125,42,25.22,49.61,6.68,143.44,Lentil
45,108,31,25.94,45.23,7.47,148.58,Lentil
38,119,27,28.31,48.01,7.46,152.77,Lentil
47,124,32,24.99,47.66,6.62,142.89,Lentil
35,113,43,25.31,42.86,7.43,149.58,Lentil
45,124,33,28.18,40.79,7.18,137.9,Lentil
44,124,40,27.19,48.71,7.47,154.11,Lentil
39,109,41,27.57,46.18,7.06,144.81,Lentil
30,126,38,25.07,42.2,6.76,155.56,Lentil
38,119,27,26.72,45.02,7.5,155.48,Lentil
39,123,38,27.05,44.85,7.42,157.27,Lentil
40,120,23,26.08,48.06,7.18,137.87,Lentil
39,106,12,26.76,93.95,5.15,46.94,Pomegranate
25,126,25,24.57,95.68,4.86,59.12,Pomegranate
36,115,13,26.96,94.1,5.54,46.03,Pomegranate
40,109,19,25.02,93.38,5.62,53.49,Pomegranate
24,124,23,27.48,94.35,5.29,51.13,Pomegranate
36,125,8,27.71,98.45,5.46,53.14,Pomegranate
40,125,15,27.13,89.51,5.33,47.35,Pomegranate
27,110,16,27.4,97.65,4.77,46.1,Pomegranate
30,118,12,24.54,90.56,4.78,56.47,Pomegranate
37,109,25,25.43,92.09,5.12,53.49,Pomegranate
26,126,12,28.38,90.69,4.85,47.07,Pomegranate
33,113,13,25.56,92.18,4.95,45.16,Pomegranate
31,126,16,25.82,91.7,5.38,52.21,Pomegranate
33,116,8,24.41,95.43,5.22,47.5,Pomegranate
28,114,14,24.63,95.46,4.99,46.2,Pomegranate
40,123,17,26.3,92.35,5.5,40.08,Pomegranate
35,109,9,27.76,96.53,5.12,41.43,Pomegranate
30,108,21,26.3,94.55,5.64,44.06,Pomegranate
31,123,12,25.69,98.61,4.85,41.07,Pomegranate
38,118,7,27.56,93.88,4.95,48.74,Pomegranate
29,126,8,25.53,92.61,4.91,40.33,Pomegranate
40,112,25,26.92,89.98,5.61,58.44,Pomegranate
32,114,17,27.51,90.41,5.19,54.2,Pomegranate
35,121,14,27.95,92.74,5.23,58.81,Pomegranate
24,113,26,24.84,94.39,5.32,58.26,Pomegranate
40,107,18,26.0,92.91,5.07,49.61,Pomegranate
22,113,23,27.23,96.24,4.93,56.08,Pomegranate
35,112,24,26.51,97.13,4.77,39.72,Pomegranate
27,107,6,25.59,96.32,5.13,47.97,Pomegranate
27,123,19,25.66,94.6,5.32,59.15,Pomegranate
39,116,14,28.28,89.46,4.89,55.72,Pomegranate
24,126,16,25.25,94.76,4.98,44.3,Pomegranate
40,107,22,24.98,90.31,5.14,54.6,Pomegranate
34,111,6,26.32,95.78,4.95,39.16,Pomegranate
28,119,12,25.57,97.19,5.29,41.72,Pomegranate
29,106,26,25.47,98.47,5.48,57.44,Pomegranate
40,117,21,24.43,95.33,5.05,50.74,Pomegranate
30,123,11,27.56,96.48,5.08,56.08,Pomegranate
31,109,22,25.23,92.21,5.68,49.61,Pomegranate
35,115,22,26.33,90.69,5.25,47.18,Pomegranate
34,106,11,25.81,91.39,4.88,53.26,Pomegranate
39,113,24,27.48,95.9,5.6,45.46,Pomegranate
41,125,25,27.48,93.03,4.98,56.8,Pomegranate
23,119,6,27.88,96.88,4.79,43.53,Pomegranate
41,119,20,24.71,95.87,5.46,52.74,Pomegranate
25,106,9,26.94,95.18,5.61,57.23,Pomegranate
26,109,17,25.9,89.96,5.46,49.78,Pomegranate
24,121,19,26.19,98.22,5.22,52.93,Pomegranate
38,124,6,26.25,95.68,5.22,46.09,Pomegranate
29,109,22,25.4,88.91,5.35,53.68,Pomegranate
35,122,6,26.19,95.41,5.65,43.36,Pomegranate
33,111,14,26.18,97.94,5.67,47.42,Pomegranate
39,106,21,26.21,98.21,5.12,44.59,Pomegranate
41,114,19,26.53,95.82,5.66,43.57,Pomegranate
24,122,19,25.2,91.48,4.94,48.76,Pomegranate
37,124,11,26.48,98.37,4.81,57.57,Pomegranate
40,111,19,24.99,97.07,5.7,41.66,Pomegranate
28,123,14,27.21,90.73,4.76,46.53,Pomegranate
39,114,19,27.87,95.38,5.51,46.16,Pomegranate
38,107,26,25.26,98.78,5.05,58.76,Pomegranate
28,108,21,25.84,92.44,4.99,52.75,Pomegranate
37,108,23,25.4,91.76,4.76,46.76,Pomegranate
27,121,26,26.91,91.53,4.91,57.42,Pomegranate
29,123,15,24.92,96.0,5.48,58.99,Pomegranate
21,124,20,25.59,89.73,5.36,44.86,Pomegranate
41,126,26,26.07,90.8,4.75,58.2,Pomegranate
22,112,9,25.84,93.11,5.52,53.74,Pomegranate
38,110,20,26.31,96.36,5.73,49.07,Pomegranate
25,120,6,26.36,91.29,4.84,58.78,Pomegranate
37,116,11,27.38,95.28,5.41,46.18,Pomegranate
29,115,8,24.59,90.19,5.23,49.23,Pomegranate
35,112,19,27.51,96.58,5.18,41.72,Pomegranate
27,112,17,26.18,89.62,5.61,48.76,Pomegranate
37,124,18,26.21,94.65,5.21,42.23,Pomegranate
26,111,9,24.61,89.27,4.88,58.97,Pomegranate
34,106,6,26.32,92.75,5.65,42.09,Pomegranate
34,125,18,25.35,93.37,5.07,46.55,Pomegranate
26,118,8,26.97,96.44,5.02,51.83,Pomegranate
31,108,16,24.4,90.81,4.97,57.11,Pomegranate
36,116,7,27.43,98.15,5.38,51.29,Pomegranate
25,119,15,27.51,97.83,5.61,53.64,Pomegranate
29,114,17,28.37,92.74,4.79,41.12,Pomegranate
29,121,9,27.77,95.21,5.73,41.36,Pomegranate
40,121,24,27.49,93.89,4.92,40.48,Pomegranate
32,126,8,25.19,93.3,4.84,51.56,Pomegranate
32,122,12,24.88,91.89,5.25,54.98,Pomegranate
35,124,10,24.82,96.05,5.6,48.56,Pomegranate
25,106,16,25.95,94.97,4.81,43.82,Pomegranate
21,120,6,25.35,95.91,5.44,43.95,Pomegranate
28,122,25,28.17,89.72,5.11,42.51,Pomegranate
